Customer_ID,Age,Tenure_Months,Monthly_Fee,Total_Usage_GB,Support_Tickets_3M,Late_Payments_6M,Contract,AutoPay,Internet_Type,Has_Addon,NPS_Score,Region,Churn
22216,38,1,70096,449,1,0,Month-to-month,1,DSL,1,-57,Seoul,0
22583,33,11,38262,564,2,1,Month-to-month,0,Fiber,0,69,Seoul,1
21663,27,34,62086,362,1,0,Month-to-month,1,Fiber,1,21,Metro,1
23028,56,19,72615,595,0,0,1-year,0,DSL,0,16,Seoul,0
24344,31,62,63279,365,2,1,2-year,0,5G,0,13,Metro,0
22681,24,34,35000,296,0,2,Month-to-month,0,Fiber,0,73,Seoul,0
21766,66,12,63162,469,0,1,1-year,1,Fiber,1,1,Other,0
21124,30,57,56161,432,2,0,1-year,0,5G,0,-38,Metro,1
24055,18,48,73185,111,1,1,Month-to-month,1,Fiber,0,44,Metro,0
23762,44,21,73654,301,0,0,Month-to-month,1,DSL,1,65,Other,0
21536,19,25,74922,523,0,3,Month-to-month,0,5G,1,-11,Metro,0
22945,60,4,45605,599,2,0,Month-to-month,0,Fiber,1,12,Metro,1
22988,58,55,71431,301,0,2,2-year,1,Fiber,0,33,Other,0
24292,66,20,35000,584,1,0,Month-to-month,0,DSL,1,-11,Metro,1
24343,42,54,76086,196,0,0,Month-to-month,1,Fiber,0,38,Other,0
24425,34,12,87862,381,1,0,1-year,1,DSL,1,-32,Metro,0
27942,67,10,72075,543,1,0,2-year,0,Fiber,0,49,Other,0
24998,60,15,54609,141,0,1,1-year,0,5G,1,84,Metro,1
22749,39,7,52287,299,0,1,2-year,0,Fiber,1,72,Other,0
22303,47,14,69044,423,0,1,1-year,1,Fiber,1,97,Metro,0
23933,54,4,79292,278,1,0,Month-to-month,0,Fiber,0,68,Metro,0
25957,29,17,60944,339,1,0,Month-to-month,1,DSL,0,-22,Seoul,1
26132,41,20,57772,558,0,0,1-year,1,5G,0,42,Metro,0
27597,51,7,75814,554,1,0,1-year,0,Fiber,0,-5,Seoul,0
20795,40,27,79420,373,1,1,1-year,1,Fiber,1,33,Other,0
23164,34,12,53493,60,0,0,Month-to-month,0,5G,0,-6,Other,0
27941,50,44,87929,337,0,0,Month-to-month,0,DSL,0,31,Seoul,0
23182,28,11,55606,413,0,0,2-year,1,Fiber,0,2,Metro,0
20764,66,14,94906,252,1,2,1-year,0,DSL,0,29,Seoul,0
23079,28,7,64480,310,0,0,1-year,0,DSL,0,20,Other,0
20812,63,12,60474,392,1,0,1-year,0,DSL,0,-27,Seoul,0
27260,27,10,65917,512,0,1,Month-to-month,0,Fiber,1,29,Other,0
26932,59,24,70112,474,1,1,Month-to-month,1,Fiber,0,-15,Seoul,0
21619,24,31,73997,298,1,1,1-year,1,DSL,0,-7,Other,0
26827,45,29,72326,314,2,1,Month-to-month,0,Fiber,1,-46,Other,0
21043,39,10,76489,489,0,0,1-year,0,Fiber,1,-14,Seoul,0
25319,57,20,56425,445,1,1,Month-to-month,1,Fiber,0,32,Metro,0
24795,38,6,77489,778,1,1,1-year,0,Fiber,0,-6,Other,1
20488,45,63,75760,30,0,0,Month-to-month,0,Fiber,0,51,Other,0
21018,43,15,56672,281,1,0,1-year,0,DSL,0,-13,Metro,0
