Customer_ID,Recency_Days,Frequency_90D,Monetary_90D,Avg_Basket,Discount_Ratio,Return_Ratio,Web_Visits_30D,App_Sessions_30D,Review_Score,Region
30001,24,9,505714,45856,0.47,0.05,16,10,4.7,Seoul
30002,42,2,73314,41320,0.22,0.01,10,4,4.0,Seoul
30003,39,10,215402,23642,0.2,0.14,11,14,3.3,Seoul
30004,21,4,343927,65800,0.15,0.07,9,3,4.0,Seoul
30005,2,19,1633920,70789,0.17,0.05,18,46,4.8,Seoul
30006,35,11,606920,46400,0.25,0.62,15,14,4.0,Metro
30007,26,10,365755,43662,0.31,0.03,19,0,4.2,Metro
30008,1,3,79248,47156,0.42,0.07,18,4,4.2,Metro
30009,9,22,1204062,55060,0.02,0.03,21,27,4.7,Other
30010,47,1,36134,37166,0.51,0.08,8,5,3.1,Seoul
30011,82,3,106301,30124,0.37,0.19,9,4,4.2,Metro
30012,0,5,89693,32520,0.45,0.71,4,22,4.0,Metro
30013,15,6,397125,46486,0.28,0.02,7,10,4.5,Other
30014,33,9,169045,40156,0.63,0.03,10,20,4.6,Metro
30015,141,1,19382,41756,0.18,0.03,6,2,3.8,Other
30016,31,9,235238,20224,0.8,0.15,16,11,4.2,Metro
30017,38,7,297009,46795,0.2,0.07,12,12,4.9,Other
30018,7,15,893897,47459,0.2,0.05,18,51,4.3,Seoul
30019,28,10,611793,53685,0.48,0.07,14,17,4.5,Seoul
30020,32,3,200852,44605,0.25,0.01,15,14,4.1,Metro
30021,20,6,269764,50725,0.49,0.17,11,0,4.2,Metro
30022,79,2,55708,31380,0.12,0.07,6,4,3.7,Metro
30023,8,4,97574,31032,0.23,0.61,18,13,3.9,Seoul
30024,25,5,234871,49921,0.35,0.09,7,11,4.5,Metro
30025,12,9,665967,49358,0.15,0.06,14,7,3.7,Seoul
30026,20,7,180143,35256,0.55,0.04,19,16,4.4,Metro
30027,82,0,0,24915,0.33,0.07,1,4,4.0,Seoul
30028,9,14,574784,54594,0.16,0.05,15,29,5.0,Metro
30029,10,5,180459,38759,0.8,0.06,22,20,4.3,Seoul
30030,19,5,397750,59658,0.27,0.28,8,6,4.1,Seoul
30031,25,7,385796,46174,0.35,0.05,15,10,4.9,Metro
30032,10,6,390559,46387,0.38,0.66,18,11,3.8,Seoul
30033,14,10,222951,33938,0.68,0.01,15,28,4.4,Metro
30034,60,3,62529,27537,0.24,0.11,5,3,4.2,Seoul
30035,54,2,58796,38176,0.27,0.13,0,3,3.7,Other
30036,19,10,601737,46843,0.72,0.1,21,13,4.8,Metro
30037,9,16,995502,52378,0.11,0.07,27,42,4.3,Seoul
30038,116,3,144232,31731,0.3,0.12,8,5,4.2,Metro
30039,16,4,4110667,115448,0.6,0.77,16,96,2.5,Other
30040,6,5,253391,42308,0.35,0.21,15,12,4.5,Seoul
30041,59,2,72550,38842,0.43,0.23,13,4,4.1,Seoul
30042,54,7,338693,42617,0.2,0.14,21,1,4.6,Metro
30043,17,4,204779,46677,0.35,0.15,19,6,4.3,Other
30044,8,10,239908,42087,0.66,0.09,20,23,4.5,Metro
30045,28,3,95438,30830,0.39,0.01,16,7,4.6,Metro
30046,10,5,141777,55595,0.31,0.07,10,9,4.4,Metro
30047,35,2,85739,46899,0.26,0.05,4,5,4.2,Metro
30048,17,10,541001,58614,0.61,0.17,14,26,4.1,Seoul
30049,0,4,100515,40805,0.21,0.1,8,14,5.0,Seoul
30050,3,13,802698,58478,0.13,0.01,32,35,4.8,Metro
30051,25,7,275282,42822,0.78,0.12,16,14,4.2,Metro
30052,3,14,1006377,55215,0.03,0.06,28,35,5.0,Metro
30053,46,5,270840,42172,0.28,0.13,18,6,4.0,Other
30054,26,8,323428,31271,0.21,0.22,14,12,3.9,Other
30055,0,3,122070,43985,0.44,0.22,8,20,3.5,Seoul
30056,13,5,110771,30800,0.22,0.23,13,10,4.2,Other
30057,80,3,55050,32960,0.1,0.1,7,3,4.3,Seoul
30058,50,11,334247,27858,0.21,0.03,11,12,4.6,Other
30059,10,18,865035,44920,0.1,0.04,24,25,4.7,Seoul
30060,4,17,947174,41914,0.08,0.08,18,42,4.8,Other
30061,31,2,60312,36429,0.29,0.05,11,9,4.7,Metro
30062,66,2,86737,59330,0.27,0.03,7,5,2.8,Seoul
30063,0,3,68468,40781,0.36,0.11,13,6,4.2,Seoul
30064,19,7,327754,35281,0.32,0.28,9,7,4.8,Metro
30065,23,2,110223,45572,0.54,0.26,6,14,4.3,Metro
30066,31,6,225056,54036,0.65,0.14,21,4,3.7,Metro
30067,25,10,448077,44964,0.34,0.12,11,7,4.6,Seoul
30068,11,7,230343,41191,0.89,0.12,18,17,4.6,Other
30069,0,25,1682779,57103,0.05,0.07,20,25,4.8,Metro
30070,87,2,84564,40210,0.19,0.05,3,5,3.7,Metro
30071,25,10,491504,41350,0.61,0.15,20,25,4.8,Seoul
30072,106,2,69508,36590,0.19,0.02,6,1,3.8,Seoul
30073,4,4,93710,23052,0.27,0.03,15,7,4.0,Seoul
30074,9,14,744019,46683,0.86,0.08,14,21,4.0,Seoul
30075,10,18,1260396,66065,0.08,0.15,28,23,4.7,Seoul
30076,0,10,468916,45816,0.81,0.03,12,24,4.9,Metro
30077,19,11,325931,34975,0.71,0.13,7,25,4.2,Seoul
30078,17,4,212969,42834,0.31,0.05,4,12,4.0,Metro
30079,14,2,79799,48227,0.12,0.22,5,8,4.7,Metro
30080,34,4,105486,39668,0.6,0.09,8,8,4.7,Metro
30081,18,5,240071,45840,0.3,0.03,7,8,4.4,Other
