Order_ID,Distance_km,Prep_Time_min,Riders_Available,Order_Queue,Weather,Rain_mm,Temp_C,Wind_mps,Rush_Hour,DayOfWeek,Time_Slot,Vehicle,Road_Type,Promo,Tip_Level,Delivery_Time_min
11502,6.1,15,9,3,Clear,0.0,14.9,1.2,1,1,Dinner,Scooter,Suburban,0,2,59.7
12587,7.5,14,15,6,Clear,0.0,14.3,3.0,0,0,Lunch,Scooter,Downtown,1,3,62.9
12654,17.6,24,14,4,Rain,4.8,27.0,3.2,0,0,Dinner,Bike,Downtown,0,2,134.7
11056,6.8,15,11,5,Clear,0.0,9.2,5.4,0,3,Night,Scooter,Highway,0,0,60.1
10706,19.6,16,11,2,Clear,0.0,11.8,2.6,1,2,Dinner,Bike,Downtown,0,1,149.2
10107,7.1,4,8,3,Clear,0.0,17.5,3.9,0,1,Afternoon,Bike,Suburban,0,3,55.2
10590,5.6,18,8,3,Clear,0.0,7.8,2.4,0,5,Night,Car,Highway,0,0,53.7
12469,7.7,16,15,4,Clear,0.0,-3.1,2.2,0,4,Lunch,Car,Suburban,1,3,59.4
12414,9.4,19,12,7,Clear,0.0,9.4,2.1,1,1,Lunch,Scooter,Highway,0,3,78.4
11601,4.8,13,12,6,Clear,0.0,18.1,4.7,0,6,Lunch,Bike,Downtown,0,3,59.1
12465,10.8,15,13,5,Snow,4.6,-3.3,2.3,0,2,Night,Car,Suburban,0,3,90.6
10229,17.0,9,11,4,Fog,0.0,20.3,3.1,0,2,Morning,Scooter,Suburban,0,3,96.7
10916,1.2,10,13,5,Clear,0.0,18.5,4.1,1,5,Dinner,Scooter,Downtown,0,0,35.8
10795,1.9,21,1,1,Clear,0.0,13.3,1.2,1,4,Afternoon,Scooter,Downtown,0,2,60.7
13022,14.4,18,3,2,Rain,4.6,5.5,1.7,0,0,Dinner,Car,Downtown,0,3,101.6
13544,1.3,7,5,3,Clear,0.0,7.2,4.3,1,0,Lunch,Bike,Suburban,0,0,36.9
11074,7.7,17,4,3,Clear,0.0,3.3,1.3,1,5,Lunch,Bike,Highway,0,0,80.7
13352,3.8,15,6,2,Clear,0.0,11.7,2.6,0,4,Morning,Scooter,Downtown,0,0,52.7
11745,6.9,29,10,6,Rain,1.7,17.3,4.2,0,0,Lunch,Scooter,Suburban,0,3,83.3
11085,8.4,17,4,5,Clear,0.0,-10.0,2.3,0,4,Dinner,Bike,Suburban,0,1,87.2
10927,5.6,18,4,5,Clear,0.0,7.4,2.1,0,5,Afternoon,Car,Downtown,0,2,62.0
13050,17.4,11,9,3,Rain,1.6,14.1,2.5,0,2,Morning,Bike,Suburban,0,3,121.9
11118,6.4,18,2,0,Snow,1.4,-1.2,3.0,1,3,Dinner,Car,Suburban,0,2,76.7
10643,8.8,12,7,7,Clear,0.0,18.9,1.8,0,3,Night,Scooter,Highway,0,1,68.0
14768,8.0,13,8,1,Snow,4.0,-10.0,1.7,0,2,Lunch,Bike,Downtown,0,0,83.5
10502,5.5,20,12,3,Clear,0.0,6.2,2.3,0,1,Morning,Car,Suburban,0,0,63.2
14067,4.5,15,15,4,Clear,0.0,3.4,3.2,1,6,Lunch,Bike,Highway,0,1,56.4
10334,11.3,14,7,4,Clear,0.0,8.6,3.5,0,2,Lunch,Scooter,Downtown,0,1,77.6
14685,2.1,12,11,4,Clear,0.0,15.5,5.2,0,2,Afternoon,Scooter,Suburban,0,1,38.1
10487,9.5,10,14,6,Fog,0.0,16.9,1.5,0,6,Night,Bike,Suburban,0,2,85.3
11963,2.9,19,13,5,Clear,0.0,14.2,2.1,0,2,Lunch,Scooter,Suburban,0,1,50.8
10394,5.2,20,7,5,Clear,0.0,13.1,2.4,0,5,Night,Scooter,Highway,1,1,55.9
14843,7.9,11,10,7,Rain,1.1,21.4,5.6,0,6,Lunch,Bike,Suburban,0,2,72.4
14867,1.4,14,8,2,Clear,0.0,10.0,3.5,0,3,Lunch,Bike,Suburban,0,1,34.1
