title,Drama,Comedy,Thriller,Action,Romance,Adventure,Crime,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,History,Music,War,Documentary,Western,Foreign,TV Movie
Avatar,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At World's End,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spectre,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight Rises,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
John Carter,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tangled,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Avengers: Age of Ultron,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Half-Blood Prince,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Batman v Superman: Dawn of Justice,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Superman Returns,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Quantum of Solace,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Lone Ranger,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Man of Steel,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
The Avengers,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: On Stranger Tides,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Men in Black 3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Robin Hood,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Desolation of Smaug,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Golden Compass,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
King Kong,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titanic,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain America: Civil War,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Battleship,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic World,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Skyfall,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
